                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.6196,                 1.2023,                 1.3518,                0.89426,                0.71014,                0.88001,                0.37414,                 1.6637,                 1.8777,                 1.6489,              0.0084988,              0.0074988,              0.0074988
                     50,                 1.6423,                 1.1696,                 1.3529,                0.89426,                0.71014,                0.88001,                0.37414,                 1.6637,                 1.8777,                 1.6489,               0.007525,               0.007525,               0.007525
                     51,                 1.6156,                 1.2373,                 1.4946,                0.79218,                 0.8287,                0.85526,                0.48581,                 1.3538,                 1.5415,                 1.4385,               0.007525,               0.007525,               0.007525
                     52,                 1.4967,                 1.0845,                 1.3519,                0.79218,                 0.8287,                0.85526,                0.48581,                 1.3538,                 1.5415,                 1.4385,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4521,                 1.1716,                 1.3068,                0.89757,                0.76204,                0.87977,                0.41961,                 1.6074,                 1.7457,                 1.4983,               0.007426,               0.007426,               0.007426
                     54,                 1.4334,                 1.2847,                  1.381,                0.89757,                0.76204,                0.87977,                0.41961,                 1.6074,                 1.7457,                 1.4983,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.5396,                 1.1183,                 1.2993,                0.89332,                0.72821,                0.87687,                0.44046,                 1.4918,                  1.601,                 1.3714,               0.007327,               0.007327,               0.007327
                     56,                 1.5136,                 1.2612,                 1.3397,                0.89332,                0.72821,                0.87687,                0.44046,                 1.4918,                  1.601,                 1.3714,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.5618,                 1.1744,                 1.4228,                0.96242,                0.74243,                0.89488,                0.48873,                 1.4219,                 1.4414,                 1.3718,               0.007228,               0.007228,               0.007228
                     58,                 1.5789,                 1.3247,                 1.4127,                0.96242,                0.74243,                0.89488,                0.48873,                 1.4219,                 1.4414,                 1.3718,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.5101,                 1.2165,                 1.4083,                0.91914,                0.82372,                0.91015,                0.50262,                 1.4928,                 1.4022,                 1.4168,               0.007129,               0.007129,               0.007129
                     60,                 1.4953,                  1.064,                 1.2063,                0.91914,                0.82372,                0.91015,                0.50262,                 1.4928,                 1.4022,                 1.4168,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.5231,                 1.0871,                 1.3478,                0.87418,                0.80557,                0.92366,                0.46052,                 1.5667,                 1.3996,                 1.4331,                0.00703,                0.00703,                0.00703
                     62,                 1.4297,                 1.1731,                 1.3242,                0.87418,                0.80557,                0.92366,                0.46052,                 1.5667,                 1.3996,                 1.4331,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.5134,                 1.1104,                 1.3455,                0.90856,                0.86411,                 0.9144,                0.48561,                 1.4747,                 1.3166,                 1.4032,               0.006931,               0.006931,               0.006931
                     64,                 1.3152,                  1.137,                   1.26,                0.90856,                0.86411,                 0.9144,                0.48561,                 1.4747,                 1.3166,                 1.4032,              0.0068815,              0.0068815,              0.0068815
                     65,                  1.478,                  1.082,                 1.2244,                0.84716,                0.80334,                0.87756,                0.45878,                 1.5437,                   1.38,                 1.4494,               0.006832,               0.006832,               0.006832
                     66,                 1.5099,                 1.0961,                 1.3172,                0.84716,                0.80334,                0.87756,                0.45878,                 1.5437,                   1.38,                 1.4494,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4666,                  1.028,                  1.244,                0.88039,                0.85339,                0.92209,                0.46742,                 1.4964,                 1.3149,                 1.4454,               0.006733,               0.006733,               0.006733
                     68,                 1.4998,                 1.0163,                 1.2831,                0.88039,                0.85339,                0.92209,                0.46742,                 1.4964,                 1.3149,                 1.4454,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.5557,                 1.0359,                 1.2659,                0.85996,                 0.7971,                0.89285,                0.44513,                 1.5633,                 1.3706,                 1.5415,               0.006634,               0.006634,               0.006634
                     70,                 1.5553,                  1.171,                  1.312,                0.85996,                 0.7971,                0.89285,                0.44513,                 1.5633,                 1.3706,                 1.5415,              0.0065845,              0.0065845,              0.0065845
                     71,                  1.433,                 1.0165,                  1.261,                0.87228,                0.81159,                0.89843,                0.46423,                 1.5042,                 1.2446,                  1.493,               0.006535,               0.006535,               0.006535
                     72,                 1.3366,                 1.0245,                 1.2647,                0.87228,                0.81159,                0.89843,                0.46423,                 1.5042,                 1.2446,                  1.493,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.6125,                 1.1522,                 1.2199,                0.91318,                 0.7971,                0.90323,                0.44852,                 1.6066,                  1.283,                 1.5606,               0.006436,               0.006436,               0.006436
                     74,                 1.6023,                 1.2611,                 1.3691,                0.91318,                 0.7971,                0.90323,                0.44852,                 1.6066,                  1.283,                 1.5606,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.6332,                 1.0811,                 1.2641,                0.91509,                0.75362,                0.88427,                0.48159,                  1.467,                 1.2479,                 1.4726,               0.006337,               0.006337,               0.006337
                     76,                 1.4223,                0.99835,                 1.3138,                0.91509,                0.75362,                0.88427,                0.48159,                  1.467,                 1.2479,                 1.4726,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.3879,                 1.0527,                 1.2796,                0.81183,                0.86957,                0.92796,                0.46343,                 1.5442,                  1.256,                  1.527,               0.006238,               0.006238,               0.006238
                     78,                 1.3018,                 1.0322,                  1.232,                0.81183,                0.86957,                0.92796,                0.46343,                 1.5442,                  1.256,                  1.527,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.5082,                 1.0206,                 1.1968,                 0.8902,                0.88406,                0.92911,                0.47519,                 1.5767,                 1.1973,                 1.5424,               0.006139,               0.006139,               0.006139
                     80,                 1.4573,                0.99208,                 1.2189,                 0.8902,                0.88406,                0.92911,                0.47519,                 1.5767,                 1.1973,                 1.5424,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.4174,                 1.0207,                 1.2584,                0.87824,                0.83632,                0.91781,                0.48335,                 1.5387,                 1.2374,                 1.4717,                0.00604,                0.00604,                0.00604
                     82,                 1.3902,                 0.9466,                  1.266,                0.87824,                0.83632,                0.91781,                0.48335,                 1.5387,                 1.2374,                 1.4717,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.4229,                 1.0271,                 1.1776,                0.95151,                0.85325,                0.94603,                0.50593,                 1.4642,                 1.2085,                 1.4168,               0.005941,               0.005941,               0.005941
                     84,                 1.3272,                0.96731,                 1.2532,                0.95151,                0.85325,                0.94603,                0.50593,                 1.4642,                 1.2085,                 1.4168,              0.0058915,              0.0058915,              0.0058915
